TG_ID,ACCOUNT_NUM,NAME,ADDRESS,CITY,STATE,ZIP,REGION,TERR,DATE,UNITS,CALLS
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,3/31/2012,16,0
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,6/30/2012,0,4
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,8/31/2012,0,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,9/30/2012,0,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,11/30/2012,0,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,2/28/2013,0,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,11/30/2013,2,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,4/30/2014,0,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,5/31/2014,8,0
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,6/30/2014,8,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,8/31/2014,0,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,9/30/2014,0,2
605880,15063200,Monongahela Valley Hosp,Rd Rt 88,Monongahela,PA,15063,East Region,20108,12/31/2014,0,2
605881,15065200,Allegheny Valley Hospital,1301 Carlisle St,Natrona Heights,PA,15065,East Region,20108,8/31/2012,2,0
605881,15065200,Allegheny Valley Hospital,1301 Carlisle St,Natrona Heights,PA,15065,East Region,20108,12/31/2012,2,0
605885,15146201,Forbes Reg Hlth Ctr-E Sub,2570 Haymaker Rd,Monroeville,PA,15146,East Region,20108,4/30/2013,4,0
605890,15224200,The Western Pennsylvania Hospital,4800 Friendship Ave Ste 2600,Pittsburgh,PA,15224,East Region,20108,2/29/2012,0,1
605890,15224200,The Western Pennsylvania Hospital,4800 Friendship Ave Ste 2600,Pittsburgh,PA,15224,East Region,20108,3/31/2012,2,0
605890,15224200,The Western Pennsylvania Hospital,4800 Friendship Ave Ste 2600,Pittsburgh,PA,15224,East Region,20108,6/30/2013,2,0
605890,15224200,The Western Pennsylvania Hospital,4800 Friendship Ave Ste 2600,Pittsburgh,PA,15224,East Region,20108,7/31/2013,4,0
605890,15224200,The Western Pennsylvania Hospital,4800 Friendship Ave Ste 2600,Pittsburgh,PA,15224,East Region,20108,10/31/2014,0,1
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,7/31/2012,4,0
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,9/30/2012,-2,0
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,1/31/2013,0,1
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,6/30/2013,0,2
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,7/31/2013,2,0
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,9/30/2013,0,1
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,2/28/2014,0,1
605894,15370203,Southwest Regional Medical Center,350 Bonar Ave,Waynesburg,PA,15370,East Region,20108,10/31/2014,0,1
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,7/31/2012,2,0
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,9/30/2012,2,0
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,12/31/2012,2,0
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,3/31/2013,0,2
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,7/31/2013,0,1
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,8/31/2013,6,0
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,1/31/2014,0,1
605895,15401200,Uniontown Hospital,500 W Berkeley St,Uniontown,PA,15401,East Region,20108,2/28/2014,0,1
